condition,frame,knee_angle_right,knee_angle_left,midline_deviation
with_orthosis,88,177.73595137027203,131.55241621284776,137.0
with_orthosis,89,179.6718475444327,130.98636123547237,137.5
with_orthosis,90,177.6768703287272,138.0888886312125,130.5
with_orthosis,91,168.41589463782137,141.9410530075467,109.0
with_orthosis,92,165.90693038517915,145.57055236760482,99.0
with_orthosis,93,157.07528779957278,148.68546949707402,79.5
with_orthosis,94,157.98378834971828,151.4064717104666,60.0
with_orthosis,95,160.11425520208203,155.22485943116808,36.5
with_orthosis,96,165.52786033299273,162.4867456755449,15.5
with_orthosis,98,176.2287898485104,165.10946920721278,4.5
with_orthosis,99,175.78150390075737,166.789657723453,31.0
with_orthosis,100,167.32226508361603,164.1005141689896,12.0
with_orthosis,101,171.80593721303205,170.45897308974003,14.0
with_orthosis,102,173.16383806447726,169.11151831832677,22.5
with_orthosis,103,166.33401379827853,160.75959665421115,9.0
with_orthosis,104,170.36589793427447,178.05251671981614,43.5
with_orthosis,105,167.66537122380325,176.5143020073252,52.0
with_orthosis,106,179.66361210197917,176.98850927918355,33.0
with_orthosis,107,167.76379642210483,161.08888043526252,90.5
with_orthosis,108,168.3948021362937,149.08933926360714,100.0
with_orthosis,109,169.5778786328501,134.16809485571017,97.0
with_orthosis,110,137.8048209122206,171.4631792278872,98.0
with_orthosis,111,145.70913409303066,173.7244550366057,87.5
with_orthosis,112,165.40931633724972,158.41869762925973,85.5
with_orthosis,113,170.53628188305615,166.90902427843557,64.5
with_orthosis,114,161.94386718357245,168.3063088918069,98.0
with_orthosis,115,162.83908246432625,162.65118728960294,90.5
with_orthosis,116,162.41177085732767,165.09468912667197,98.0
with_orthosis,117,164.35668129090567,163.5022459355173,82.5
with_orthosis,118,163.42399934231148,161.2524140153458,72.5
with_orthosis,119,167.26494585864864,162.03243350617873,67.5
with_orthosis,121,167.51977286264741,163.40825390590578,49.0
with_orthosis,122,160.53732579292623,167.90524292298792,42.5
with_orthosis,123,165.76634275360445,169.64155289961838,48.0
with_orthosis,124,178.4257452663192,167.01090936079987,39.5
with_orthosis,125,174.41411181198146,164.1151354603024,45.0
with_orthosis,126,170.04072939062783,159.64469985598078,50.0
with_orthosis,127,167.2659531843544,158.29354305983563,40.5
with_orthosis,128,167.76190347772976,155.82355265471497,49.5
with_orthosis,129,164.68791997259592,154.78826834672458,57.0
with_orthosis,130,171.58794598041266,156.69515895534474,68.5
with_orthosis,131,170.0002402003888,153.19493648884674,72.5
with_orthosis,132,174.34567343189042,152.9248261669563,73.5
with_orthosis,133,176.18983243075542,152.7665548385058,87.5
with_orthosis,134,177.5544146589501,150.21815870917752,93.0
with_orthosis,135,169.74564561075331,146.0329109077796,94.0
with_orthosis,136,164.02724610399565,147.00850250222678,95.0
with_orthosis,137,158.98877015637433,147.97448975417137,87.5
with_orthosis,138,156.62923570889922,147.2499529313566,83.0
with_orthosis,139,158.52034688317235,149.80759817805065,78.0
with_orthosis,140,158.02372708463992,154.38851378691686,68.5
with_orthosis,141,158.85861682026177,159.28869764926003,51.5
with_orthosis,142,161.7939910431583,166.0000349861825,40.0
with_orthosis,143,169.03420477619693,161.30571997003497,31.0
with_orthosis,144,170.0515759278977,165.1212079048132,13.5
with_orthosis,146,11.861115374757782,6.779131566298625,27.0
with_orthosis,147,165.52970589993413,149.0700702319223,2.5
with_orthosis,148,179.42007290606324,132.1763709295912,1.0
with_orthosis,149,149.41432754447092,161.85860399482416,11.5
with_orthosis,150,14.436218247331064,163.85622776037638,20.0
with_orthosis,151,11.613036954253557,162.88026168397988,11.5
with_orthosis,152,134.27455708568422,124.88072287527295,108.0
with_orthosis,153,20.235493462603575,146.6102155801198,63.0
with_orthosis,154,12.085771970328697,33.068231003029794,102.5
with_orthosis,155,177.83688468107016,99.8638181278013,170.5
with_orthosis,156,138.95061813834184,121.28868185509499,138.5
with_orthosis,157,126.09301184011797,106.51628335678498,161.5
with_orthosis,158,143.5005440426664,164.7795989938726,189.5
with_orthosis,159,163.9284652906287,66.64834412905377,156.5
with_orthosis,160,8.502729567866934,72.81615789311364,128.0
with_orthosis,161,44.0635996143398,146.51995670327764,104.5
with_orthosis,162,123.4533094540727,147.44374510853123,69.5
with_orthosis,163,110.2975697722287,167.37012183205798,100.0
with_orthosis,164,164.31889822029905,177.09897925858044,55.5
with_orthosis,165,154.72067315528082,105.08170585632327,53.5
with_orthosis,166,159.28139506145976,160.65031845579838,30.5
with_orthosis,167,72.35141445878995,23.024031818555862,54.5
with_orthosis,168,147.7434198136088,41.56846749684429,4.5
with_orthosis,170,177.01165008366328,169.66254352934072,79.5
with_orthosis,171,174.02843410220356,169.2526485744245,64.5
with_orthosis,172,173.45014593816992,171.71878849222927,60.5
with_orthosis,173,171.92117739958414,173.07922183444174,57.0
with_orthosis,174,171.222581534289,173.26019105182442,56.5
with_orthosis,175,169.65327406044827,172.39995383721563,54.0
with_orthosis,176,167.43838551440956,169.98190939786906,51.0
with_orthosis,177,166.04621226452826,168.1575487177122,53.0
with_orthosis,178,165.02389369097537,166.95436293705137,52.0
with_orthosis,179,164.9529331077478,165.93532939012707,52.5
with_orthosis,180,165.3491752358924,164.41898326164076,55.0
with_orthosis,181,166.9970890883509,163.10613266142263,53.0
with_orthosis,182,170.63857966766554,162.4944923465457,53.0
without_orthosis,44,136.70842402215746,153.41205798134604,43.5
without_orthosis,45,137.40440942162897,161.01990969867506,127.5
without_orthosis,55,130.6012946450045,118.42216386097556,69.0
without_orthosis,70,169.76296361406074,162.36880089235046,11.0
without_orthosis,71,168.26747272269208,160.03334272458335,8.0
without_orthosis,72,173.591226915053,165.67728002179646,20.5
without_orthosis,73,177.8629166913861,166.5584542829766,42.0
without_orthosis,74,173.2661474950474,157.65133383720104,57.5
without_orthosis,75,162.19493421977737,158.79647418890693,80.5
without_orthosis,76,156.3717489302976,154.8059032876055,72.0
without_orthosis,77,159.10327537206015,155.54086285155856,79.0
without_orthosis,78,163.0048922115578,162.4749840728364,86.0
without_orthosis,79,157.48812373846528,170.67354620697424,74.0
without_orthosis,80,153.39766397009882,173.14592187959704,72.5
without_orthosis,81,165.20828739190793,169.2512955262396,53.0
without_orthosis,82,166.14970265338002,166.97522320825422,38.5
without_orthosis,83,158.39412821069317,170.23685708692454,31.0
without_orthosis,84,164.4124947167527,175.5279427049083,39.5
without_orthosis,85,165.53424259572236,171.67070354628223,22.5
without_orthosis,86,171.0838914472682,175.21284159639916,23.5
without_orthosis,87,175.77089924243452,173.200389933357,13.0
without_orthosis,88,179.1536340314276,174.70827599027277,43.0
without_orthosis,89,176.82255045930663,174.68482834963177,66.5
without_orthosis,90,174.7642269237525,171.6936119523453,86.5
without_orthosis,91,167.51885818470225,168.4824546174678,105.5
without_orthosis,92,171.22267749731492,157.2235207170328,128.5
without_orthosis,93,175.16110119907663,151.93140548405415,149.5
without_orthosis,94,177.36325857337013,133.29659422516198,144.5
without_orthosis,95,177.535741769605,128.7297747671718,149.5
without_orthosis,96,176.62713673891966,130.75752911823523,145.5
without_orthosis,97,171.5867475189322,151.76044830907995,110.5
without_orthosis,98,158.06149273924626,154.05972434801447,111.0
without_orthosis,99,135.34715948075072,161.32740036248032,103.5
without_orthosis,100,128.87424168096427,176.65486415058956,93.5
without_orthosis,101,131.46527422042078,179.89224854841993,88.0
without_orthosis,102,136.6383880977592,177.74392576831784,56.0
without_orthosis,103,143.09174872107536,174.2431959403594,31.0
without_orthosis,104,143.22254990602116,172.68484986132248,6.0
without_orthosis,105,150.44610392741748,170.2358962390929,79.0
without_orthosis,106,154.06687967823007,171.60892363386057,58.5
without_orthosis,107,160.96843647558475,172.2529621147143,31.0
without_orthosis,108,160.33831553728817,171.86346389375018,15.5
without_orthosis,109,171.08086238834645,142.02094691254715,2.5
without_orthosis,123,172.0746440879662,177.5762031703561,95.0
without_orthosis,124,163.62949662867035,178.27538597561514,85.0
without_orthosis,125,162.6872257994128,179.40643914232118,72.0
without_orthosis,126,169.9765895900745,179.93264208104353,56.0
without_orthosis,127,175.52703338910442,179.18782529311406,47.5
without_orthosis,128,175.83243930570026,179.54062063783303,46.0
without_orthosis,129,173.68711464271317,176.46184974270196,49.5
without_orthosis,130,176.3663190673927,176.82908855220643,54.0
without_orthosis,131,177.45552975896976,174.58672355576505,51.5
without_orthosis,132,178.40967737557213,171.7010291888892,55.5
without_orthosis,133,175.26342839747238,170.39287580872102,65.5
without_orthosis,134,176.64074341897302,162.65663756907063,75.0
without_orthosis,135,170.98296270593963,157.05428088803072,85.5
without_orthosis,136,154.67980843938574,153.87200939855964,77.0
without_orthosis,137,145.08271930674985,151.43331801525508,88.5
without_orthosis,138,146.380649779757,149.36542083275725,79.0
without_orthosis,139,143.33037759806393,153.70500369111033,67.5
without_orthosis,140,143.8623985084271,167.4535390926015,65.0
without_orthosis,141,141.16922597486166,174.81990817917418,58.5
without_orthosis,142,166.5284637951978,144.849415684105,38.0
without_orthosis,143,176.65534968173418,146.03721431406075,30.5
without_orthosis,144,171.58893974465784,142.53750583508744,37.0
without_orthosis,145,152.278720635127,179.67870035486814,7.5
without_orthosis,146,178.29958538886873,163.85813990255517,8.0
without_orthosis,147,176.86608789921127,165.85098423306155,7.0
without_orthosis,148,174.2453373012532,170.3976851677094,5.0
without_orthosis,149,174.02502077957587,173.4307977795535,2.0
without_orthosis,150,176.2509163217379,173.8862835898682,4.5
without_orthosis,151,176.28020758081763,172.15934985216552,7.0
without_orthosis,152,177.34016253901117,168.5634297335492,13.5
without_orthosis,153,178.81278071584853,171.61890065883205,17.5
without_orthosis,154,178.01104848278914,170.84914317482273,30.0
without_orthosis,155,177.28341447541183,168.65965986461995,40.5
without_orthosis,156,172.9549317673302,171.7691136169617,58.5
without_orthosis,157,172.24989596322382,170.38847145851094,61.5
without_orthosis,158,167.00103978893137,171.5877532223807,70.0
without_orthosis,159,164.53013220323032,174.0572666692075,75.0
without_orthosis,160,161.21171147454285,173.8721138981885,81.0
without_orthosis,161,159.05093957857866,174.82593978583517,87.0
