condicion,frame,knee_angle_R,knee_angle_L,midline_dev
sin_ortesis,73,177.86291669116486,166.55845428294884,42.0
sin_ortesis,74,173.2661474949746,157.65133383718495,57.5
sin_ortesis,75,162.19493421974903,158.7964741888888,80.5
sin_ortesis,76,156.37174893027512,154.80590328759027,72.0
sin_ortesis,77,159.10327537202372,155.54086285153798,79.0
sin_ortesis,78,163.00489221150045,162.47498407280156,86.0
sin_ortesis,79,157.48812373841875,170.67354620690298,74.0
sin_ortesis,80,153.397663970068,173.14592187951033,72.5
sin_ortesis,81,165.20828739185706,169.25129552618668,53.0
sin_ortesis,82,166.14970265332818,166.97522320821153,38.5
sin_ortesis,83,158.39412821066168,170.23685708686813,31.0
sin_ortesis,84,164.41249471671108,175.5279427047969,39.5
sin_ortesis,85,165.53424259568067,171.67070354622763,22.5
sin_ortesis,86,171.0838914472055,175.21284159631114,23.5
sin_ortesis,87,175.77089924230236,173.2003899332966,13.0
sin_ortesis,88,179.15363403074505,174.7082759901976,43.0
sin_ortesis,89,176.82255045911336,174.68482834955728,66.5
sin_ortesis,90,174.7642269236295,171.6936119522978,86.5
sin_ortesis,91,167.51885818464555,168.48245461743255,105.5
sin_ortesis,92,171.22267749723474,157.22352071701607,128.5
sin_ortesis,93,175.16110119892426,151.9314054840405,149.5
sin_ortesis,94,177.3632585730893,133.2965942251551,144.5
sin_ortesis,95,177.5357417693109,128.72977476716588,149.5
sin_ortesis,96,176.6271367386629,130.7575291182267,145.5
sin_ortesis,97,171.5867475187121,151.76044830903186,110.5
sin_ortesis,98,158.06149273919462,154.05972434797383,111.0
sin_ortesis,99,135.34715948073978,161.32740036244292,103.5
sin_ortesis,100,128.87424168095717,176.65486415039553,93.5
sin_ortesis,101,131.46527422041265,179.89224854245325,88.0
sin_ortesis,102,136.63838809774865,177.74392576801372,56.0
sin_ortesis,103,143.09174872106274,174.24319594024868,31.0
sin_ortesis,104,143.22254990600902,172.6848498612297,6.0
sin_ortesis,105,150.44610392740077,170.23589623902672,79.0
sin_ortesis,106,154.0668796782116,171.6089236337801,58.5
sin_ortesis,107,160.96843647555878,172.25296211462734,31.0
sin_ortesis,108,160.33831553726264,171.86346389367063,15.5
sin_ortesis,109,171.08086238828878,142.0209469125371,2.5
sin_ortesis,123,172.07464408788286,177.57620317012837,95.0
sin_ortesis,124,163.62949662862687,178.27538597529087,85.0
sin_ortesis,125,162.68722579936792,179.40643914138047,72.0
sin_ortesis,126,169.976589589996,179.93264207319777,56.0
sin_ortesis,127,175.52703338893298,179.18782529250598,47.5
sin_ortesis,128,175.83243930552194,179.5406206368492,46.0
sin_ortesis,129,173.68711464259428,176.4618497425718,49.5
sin_ortesis,130,176.36631906719106,176.8290885520669,54.0
sin_ortesis,131,177.45552975868748,174.58672355568072,51.5
sin_ortesis,132,178.4096773751302,171.701029188835,55.5
sin_ortesis,133,175.26342839733192,170.39287580867676,65.5
sin_ortesis,134,176.6407434187661,162.65663756904272,75.0
sin_ortesis,135,170.98296270586843,157.05428088801037,85.5
sin_ortesis,136,154.67980843936192,153.87200939854222,77.0
sin_ortesis,137,145.0827193067344,151.4333180152374,88.5
sin_ortesis,138,146.38064977974102,149.3654208327396,79.0
sin_ortesis,139,143.33037759805015,153.70500369108706,67.5
sin_ortesis,140,143.8623985084128,167.4535390925465,65.0
sin_ortesis,141,141.16922597484844,174.81990817903556,58.5
sin_ortesis,142,166.5284637951468,144.8494156840895,38.0
sin_ortesis,143,176.6553496815399,146.03721431404549,30.5
sin_ortesis,144,171.5889397445804,142.5375058350738,37.0
sin_ortesis,145,152.27872063510603,179.67870035269019,7.5
sin_ortesis,146,178.29958538851352,163.85813990251623,8.0
sin_ortesis,147,176.86608789902462,165.85098423301847,7.0
sin_ortesis,148,174.24533730114885,170.39768516764317,5.0
sin_ortesis,149,174.02502077947167,173.43079777944817,2.0
sin_ortesis,150,176.2509163215666,173.8862835897508,4.5
sin_ortesis,151,176.28020758064193,172.15934985207076,7.0
sin_ortesis,152,177.34016253875416,168.56342973348274,13.5
sin_ortesis,153,178.81278071526276,171.61890065873868,17.5
sin_ortesis,154,178.0110484824277,170.8491431747335,30.0
sin_ortesis,155,177.28341447514262,168.65965986454972,40.5
sin_ortesis,156,172.9549317672305,171.76911361686322,58.5
sin_ortesis,157,172.2498959631391,170.38847145843587,61.5
sin_ortesis,158,167.00103978888114,171.58775322230105,70.0
sin_ortesis,159,164.53013220318587,174.05726666909496,75.0
sin_ortesis,160,161.21171147450568,173.87211389807956,81.0
sin_ortesis,161,159.0509395785422,174.82593978569713,87.0
